Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Ce', 'Mn', 'Ti', 'Zr']",0.1486381741388651,0.0850360584544642,0.2318364422499268,0.1478786991490724,0.0890970746224512,0.2345395888616313,0.1475440288038025,0.0920865178315594,0.2698150445210867,2.9664509901798244,3.0505987149644107,3.3445084106587184,2.9664509901798244,aPbO2,aPbO2,aPbO2
"['Hf', 'Nb', 'Rh', 'Sn']",0.071636222121513,0.0579242129092956,0.2832512602125403,0.0708957083393286,0.0624540238307103,0.2826242665256613,0.0649760437292104,0.0787585615301884,0.2463809040477498,2.997552328122197,3.042712694034226,2.973687807057422,2.973687807057422,rut,rut,aPbO2
"['Nb', 'Rh', 'Ti', 'Zr']",0.1025646864560925,0.0505950500159302,0.2910132483773067,0.1048732084437129,0.0505904721206618,0.3047625697266154,0.087978616776081,0.0742062495663776,0.2726766433088796,2.9894413932291437,3.108498514547935,3.108766315603057,2.9894413932291437,aPbO2,rut,bad
"['Hf', 'Nb', 'Rh', 'V']",0.0829744963130663,0.0568409920826833,0.2839143136414845,0.0863030624490168,0.0642272320280695,0.2885713760740662,0.0766222882453474,0.079509443497403,0.2493228691772122,2.991538271133009,3.1120100489793057,3.006396795242589,2.991538271133009,aPbO2,rut,aPbO2
"['Ge', 'Nb', 'Pb', 'Ti']",0.1691649938699891,0.0871379237266569,0.2315818312251591,,,,0.1360999930932933,0.0927222269998779,0.2370238516952119,2.9985462867466226,,3.126941820382188,2.9985462867466226,aPbO2,aPbO2,aPbO2
"['Ir', 'Mn', 'Nb', 'Zr']",0.1011143104866316,0.0797379190572288,0.2488388405613406,0.0958235765696266,0.0851098068441197,0.2545283592761045,0.0819391024545499,0.0873007526415826,0.2479277809185767,3.006217481282375,3.1281521255049642,3.1148113672490045,3.006217481282375,aPbO2,rut,aPbO2
"['Ir', 'Mn', 'Nb', 'Sn']",0.0838907226322023,0.086525155128966,0.2343855421937171,0.0838884435442218,0.0955078254371206,0.2370657896643102,0.0743433617457104,0.1043277970671059,0.2282584056347367,3.007945482747492,3.173652840892158,3.269878288667683,3.007945482747492,aPbO2,rut,aPbO2
"['Ce', 'Hf', 'Mn', 'Ti']",0.1395890734595437,0.0712273837414568,0.2657018186430857,0.1370937999885947,0.0756954743418154,0.2589963019676862,0.1271200197197046,0.0726651342605783,0.2854356001844511,3.0149273990754852,3.0239233975019504,3.1889630012465475,3.0149273990754852,aPbO2,bad,aPbO2
"['Ge', 'Hf', 'Nb', 'Pb']",0.1827980683252207,0.0930932643543675,0.2210856734875035,,,,0.1681404808603869,0.0955535974798551,0.2197379145510103,3.028016682350186,,3.061889445234493,3.028016682350186,aPbO2,rut,aPbO2
"['Ir', 'Nb', 'Rh', 'Ru']",,,,0.0439071171755634,0.0441987375143995,0.322416747882932,0.0455998895251689,0.0653481040412185,0.2768601995812778,,3.2103588270059205,3.029611052483492,3.029611052483492,rut,rut,bad
"['Nb', 'Rh', 'Ru', 'Ti']",0.0695628437353612,0.0474670628693824,0.3191130430301481,0.0691052902842895,0.0500241201311892,0.3254157365898198,0.0628177138156653,0.0653486321416057,0.2771086048774922,3.207124743022871,3.2840369856573863,3.0316302657289262,3.0316302657289262,rut,rut,aPbO2
"['Ge', 'Ir', 'Sn', 'Zr']",0.081378880755664,0.0593107020175546,0.2855609680555533,0.0812761648441877,0.0638997874206292,0.2860283382700581,,,,3.0319120340383785,3.0873363449874316,,3.0319120340383785,aPbO2,aPbO2,aPbO2
"['Ce', 'Mn', 'Sn', 'V']",0.1533442753510885,0.0937565792002255,0.2354585512174702,0.1565372557331369,0.0908731624899543,0.2279795824859976,0.1281012882532992,0.0949990213941748,0.2601496411597646,3.1336578338303256,3.0357019300643344,3.321987708893926,3.0357019300643344,bad,bad,bad
"['Ce', 'Mn', 'Pb', 'Pt']",0.1332542518199821,0.075297294470458,0.2939871308435506,0.1341586794832688,0.0744095437515324,0.2876377272587547,0.1275281287748627,0.0680808356206881,0.2735715946313917,3.290301877644119,3.2287018612883718,3.0366909958023127,3.0366909958023127,rut,rut,rut
"['Ce', 'Mn', 'Nb', 'Sn']",0.1410370327231814,0.0852144317269896,0.2429263355550173,0.1251217942386258,0.0809365694948444,0.2509489531127773,0.1198831052449529,0.0910559102658595,0.264012244799316,3.0468963313653754,3.0394571404235644,3.287215386851008,3.0394571404235644,bad,aPbO2,bad
"['Ce', 'Ir', 'Pt', 'Rh']",,,,0.1143726420701051,0.0646162389879906,0.3242962666729481,0.1248645851507221,0.0644177199853925,0.2809321018451092,,3.4137595419627518,3.0516477927574983,3.0516477927574983,rut,rut,rut
"['Ce', 'Mn', 'Pt', 'Ru']",,,,0.1212326273413838,0.075782983025786,0.2905107789894554,0.1736429588005474,0.0684091563513785,0.2752699369676197,,3.2690787812160185,3.054363562430094,3.054363562430094,rut,rut,rut
"['Nb', 'Rh', 'V', 'Zr']",0.0981042531806462,0.0582303749067616,0.3073830967395521,0.0975463001959293,0.060074060223253,0.3038502179183551,0.0830979835231241,0.0676865250068503,0.2766203388506687,3.204503712354459,3.193600596317735,3.056197243342977,3.056197243342977,rut,rut,aPbO2
